WANID	LocationID
BLHRR-1	BLH
BLHRR-2	BLH
LBRS228-1	228
LDB_ITL1_2921	274
LDB_ITL1_2921	277
LDB_ITL1_2921	278
LDB_ITL1_2921	986
LDB_ITL2_2921	271
LDB_ITL2_2921	272
LDB_ITL2_2921	273
LDB_ITL2_2921	276
LDB275-1	275
LDBRR082-1	082
LDBRR082-2	082
LDBRS002-1	002
LDBRS003-1	003
LDBRS003-2	003
LDBRS005-1	005
LDBRS005-2	005
LDBRS006-1	006
LDBRS006-2	006
LDBRS007-1	007
LDBRS007-2	007
LDBRS008-1	008
LDBRS008-2	008
LDBRS009-1	009
LDBRS009-2	009
LDBRS010-1	010
LDBRS010-2	010
LDBRS012-1	012
LDBRS012-2	012
LDBRS013-1	013
LDBRS013-2	013
LDBRS014-1	014
LDBRS015-1	015
LDBRS015-2	015
LDBRS016-1	016
LDBRS016-2	016
LDBRS017-1	017
LDBRS017-2	017
LDBRS018-1	018
LDBRS019-1	019
LDBRS023-1	023
LDBRS024-1	024
LDBRS024-2	024
LDBRS025-1	025
LDBRS025-2	025
LDBRS026-1	026
LDBRS027-1	027
LDBRS027-2	027
LDBRS028-1	028
LDBRS028-2	028
LDBRS029-1	029
LDBRS029-2	029
LDBRS031-1	031
LDBRS031-2	031
LDBRS032-1	032
LDBRS032-2	032
LDBRS033-1	033
LDBRS033-2	033
LDBRS034-1	034
LDBRS034-2	034
LDBRS035-1	035
LDBRS035-2	035
LDBRS037-1	037
LDBRS038-1	038
LDBRS038-2	038
LDBRS040-1	040
LDBRS040-2	040
LDBRS041-1	041
LDBRS041-2	041
LDBRS042-1	042
LDBRS042-2	042
LDBRS043-1	043
LDBRS043-2	043
LDBRS044-1	044
LDBRS044-2	044
LDBRS045-1	045
LDBRS045-2	045
LDBRS046-1	046
LDBRS046-2	046
LDBRS047-1	047
LDBRS048-1	048
LDBRS048-2	048
LDBRS049-1	049
LDBRS049-2	049
LDBRS050-1	050
LDBRS050-2	050
LDBRS051-1	051
LDBRS051-2	051
LDBRS052-1	052
LDBRS052-2	052
LDBRS053-1	053
LDBRS053-2	053
LDBRS055-1	055
LDBRS059-1	059
LDBRS059-2	059
LDBRS060-1	060
LDBRS063-1	063
LDBRS063-2	063
LDBRS064-1	064
LDBRS064-2	064
LDBRS065-1	065
LDBRS065-2	065
LDBRS066-1	066
LDBRS066-2	066
LDBRS067-1	067
LDBRS067-2	067
LDBRS068-1	068
LDBRS069-1	069
LDBRS069-2	069
LDBRS070-1	070
LDBRS070-2	070
LDBRS071-1	071
LDBRS071-2	071
LDBRS072-1	072
LDBRS072-2	072
LDBRS073-1	073
LDBRS074-1	074
LDBRS075-1	075
LDBRS075-2	075
LDBRS076-1	076
LDBRS076-2	076
LDBRS077-1	077
LDBRS077-2	077
LDBRS078-1	078
LDBRS078-2	078
LDBRS079-1	079
LDBRS079-2	079
LDBRS080-1	080
LDBRS080-2	080
LDBRS081-1	081
LDBRS081-4	081
LDBRS083-1	083
LDBRS083-2	083
LDBRS086-1	086
LDBRS086-2	086
LDBRS088-1	088
LDBRS089-1	089
LDBRS089-2	089
