LocationID	Name	Address	City	Prov	PostalCode	Phone	Fax	LocationType	LastModified	LastModifiedBy	Comment	Notes
002	#002 Ashcroft BCLS	PO Box 368, 301 - 3rd Street	Ashcroft	BC	V0K 1A0	(250) 453-2542	(250) 453-9507	C	2012-07-16 00:00:00.000	lrlee                                                                                               	NEC                                                                                                 	NULL
003	#003 Fort St John BCLS	10444 - 100th St	Fort St. John	BC	V1J 3Z1	(250) 787-3405	2507859038	A	2014-05-14 00:00:00.000	cbdick	Alarm	2014/05/14 - Added Alarm - CD
005	#005 Campbell River BCLS	270 - 1400 Dogwood St.	Campbell River	BC	V9W 3A6	(250) 287-4516	(250) 287-7395	A	2012-07-16 00:00:00.000	lrlee                                                                                               	NEC                                                                                                 	NULL
006	#006 Semiahmoo BCLS	#149  1711 - 152nd St.	Surrey	BC	V4A 4N3	(604) 542-3990	(604) 542-3992	A	2014-03-06 00:00:00.000	M. Fan                                                                                              	Pinpad 13; WAN - CE                                                                                 	NULL
007	#007 Chilliwack BCLS	Salish Plaza 46040 Yale Road	Chilliwack	BC	V2P 7V2	(604) 795-8424	(604) 792-9904	A	2013-09-30 00:00:00.000	C. Dick                                                                                             	2960 Update, Wireless Subnets                                                                       	NULL
008	#008 Cumberland BCLS	PO Box 10  2700 Dunsmuir Ave	Cumberland	BC	V0R 1S0	(250) 336-2242	(250) 336-8676	C	2012-11-20 00:00:00.000	C. Dick                                                                                             	DVR                                                                                                 	NULL
009	#009 Cranbrook BCLS	#100 - 425 Victoria Ave. North	Cranbrook	BC	V1C 6S3	(250) 426-1298	(250) 426-1398	A	2012-10-10 00:00:00.000	M. Glasgow                                                                                          	NULL	NULL
010	#010 Courtenay BCLS	1095 Cliffe Ave	Courtenay	BC	V9N 2J9	(250) 334-1333	(250) 334-1394	A	2014-05-14 00:00:00.000	cbdick	Shaw AIG	2014/05/14 - Added AIG info -CD
012	#012 Duncan BCLS	#1 - 180 Central Road	Duncan	BC	V9L 4X3	2507152770	2507152772	A	2015-03-03 00:00:00.000	cameek	CE Transition	2014/05/15 - Added AIG info -CD<br>
2017/03/02 - Hardcoded fa0/18 (MFD02012) to 10/full.  No communication on auto or 10/half.  Ref: MSM188038. -CD
013	#013 Fernie BCLS	PO Box 807   792 - 2nd Ave	Fernie	BC	V0B 1M0	(250) 423-6006	(250) 423-7460	B	2016-05-11 00:00:00.000	cameek	CE Transition	NULL
014	#014 Greenwood BCLS	PO Box 339   272 S. Copper Rd	Greenwood	BC	V0H 1J0	(250) 445-6336	(250) 445-6779	C	NULL	NULL	NULL	NULL
015	#015 Grand Forks BCLS	PO Box 130  451 Central Ave	Grand Forks	BC	V0H 1H0	(250) 442-5440	(250) 442-5841	B	NULL	NULL	NULL	NULL
016	#016 Golden BCLS	PO Box 690   906 S. 10th Ave.	Golden	BC	V0A 1H0	(250) 344-7558	(250) 344-5829	B	2014-06-10 00:00:00.000	cbdick	AIG Install	2014/06/10 - AIG provided by 3rd Party Eastlink, now Delta Cable (not SHAW)<br>
2016/12/05 - AIG acct number 8125132310030816 per Cass.
017	#017 Invermere BCLS	PO Box 67   510 - 13th Street	Invermere	BC	V0A 1K0	(250) 342-4292	(250) 342-0185	B	2016-05-17 00:00:00.000	cameek	CE Transition	2014/05/14 - Added Alarm/DVR - CD
018	#018 Kaslo BCLS	PO Box 460   410 Front St	Kaslo	BC	V0G 1M0	(250) 353-2434	(250) 353-7501	C	NULL	NULL	NULL	NULL
019	#019 Keremeos BCLS	PO Box 70   7th Ave	Keremeos	BC	V0X 1N0	(250) 499-5812	(250) 499-2469	C	NULL	NULL	NULL	NULL
023	#023 Lillooet BCLS	PO Box 429   155 Main St	Lillooet	BC	V0K 1V0	(250) 256-4356	(250) 256-7389	C	NULL	NULL	NULL	NULL
024	#024 Ladysmith BCLS	Unit 7   370 Trans Canada Hwy	Ladysmith	BC	V9G 1T9	(250) 245-7359	(250) 245-8972	B	2014-05-29 00:00:00.000	cbdick	SHAW AIG	NULL
082	#082 Hillside BCLS	87 – 1644 Hillside Ave	Victoria	BC	V8T 2C5	2509524033	2509524043	A	2014-10-17 00:00:00.000	cbdick	Add WS#13 (aka: LDW03082)	NULL
275	#275 KDC Test Lab	Support Centre, 9881 Dallas Drive	Kamloops	BC	V2C 6T4	6042523000	NULL	T	2015-01-13 00:00:00.000	cameek	Created Network Support page for S275	No direct ADSL circuit (stub network from KDC2).
224	#224 Solo District BCLS	4455 Skyline Drive	Burnaby	BC	V5C 0H6	6046601007	6046601078	A	NULL	NULL	NULL	NULL
428	#428 Park Royal BCLS(OLD CONFIG)	570 Park Royal North	West Vancouver	BC	V7T 1A1	6049810011	6049810333	S	2017-05-09 00:00:00.000	Vincent A.	NULL	LDEi01228 connected to LDBRS228 port Gi0/22
NOTE: Switch is a brand new 48 port. Unsure if model chosen is correct
333	Layer8 Documentation Test	3200 Vincent Avenue	Vince	VA	V3J 5J8	6042522764	NULL	N	NULL	NULL	NULL	NULL
025	#025 Ladner BCLS	5202 - 48th Ave	Ladner	BC	V4K 1W4	(604) 946-2020	(604) 946-6082	A	2013-09-18 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
026	#026 McBride BCLS	PO Box 39  500 Robson Ctr	McBride	BC	V0J 2E0	(250) 569-2385	(250) 569-3324	C	NULL	NULL	NULL	NULL
027	#027 Mission BCLS	#207 - 32530 Lougheed Hwy	Mission	BC	V2V 1A5	(604) 826-2541	(604) 826-6152	A	2014-04-22 00:00:00.000	Lrlee	CE Cut Over	NULL
028	#028 Sparwood BCLS	PO Box 285  117 Red Cedar Dr	Sparwood	BC	V0B 2G0	(250) 425-6254	(250) 425-7859	C	NULL	NULL	NULL	NULL
029	#029 Merritt BCLS	PO Box 264  #104 - 1700 Garcia Street	Merritt	BC	V1K 1B8	(250) 378-9384	(250) 378-6938	B	2015-02-26 00:00:00.000	cameek	CE Transition	NULL
031	#031 New Westminster BCLS	1075 Columbia Street	New Westminster	BC	V3M 1C4	(604) 660-8699	(604) 525-8273	A	2014-09-16 00:00:00.000	CAMEEK	CE Cutover	NULL
032	#032 Nelson BCLS	209 Anderson St	Nelson	BC	V1L 3X8	(250) 354-6119	(250) 354-4586	A	NULL	NULL	NULL	NULL
033	#033 Nanaimo Port Place BCLS	#115 - 650 South Terminal Ave	Nanaimo	BC	V9R 5E2	(250) 716-5205	(250) 716-5227	B	2013-11-06 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
034	#034 Qualicum BCLS	706 Primrose St	Qualicum	BC	V9K 1T2	(250) 752-9931	(250) 752-6987	B	NULL	NULL	NULL	2015/12/02 - Network/Pinpad drops for Reg4 are stored in the ceiling between Customer Service Counter and REG 1
035	#035 Prince Rupert BCLS	100 2nd Avenue W	Prince Rupert	BC	V8J 1G3	(250) 624-7424	(250) 627-8395	B	NULL	NULL	NULL	ADSL and AIG Provider for this site is City Tel (www.citytel.net)
037	#037 Princeton BCLS	PO Box 159   130 Harold St	Princeton	BC	V0X 1W0	(250) 295-6011	(250) 295-6841	B	NULL	NULL	NULL	NULL
038	#038 Marpole BCLS	1525 West 70th Ave	Vancouver	BC	V6P 5A1	(604) 266-5931	(604) 266-3314	B	2016-03-07 00:00:00.000	cameek	Added secondary access point	NULL
040	#040 Port Alberni BCLS	3764 - 10th Ave	Port Alberni	BC	V9Y 4W6	(250) 724-9286	(250) 723-4263	B	2015-02-24 00:00:00.000	cameek	CE Transition	NULL
041	#041 Powell River BCLS	Unit 91 - 7100 Alberni St.	Powell River	BC	V8A 5K9	(604) 485-6311	(604) 485-9852	B	NULL	NULL	NULL	NULL
042	#042 Parksville BCLS	PO Box 129  319B East Island Hwy	Parksville	BC	V9P 2G3	(250) 248-6531	(250) 248-7291	B	NULL	NULL	NULL	NULL
043	#043 Quesnel BCLS	488 Reid St	Quesnel	BC	V2J 2M6	(250) 992-4296	(250) 992-9286	A	NULL	NULL	NULL	NULL
044	#044 Rossland BCLS	PO Box 760   2065 Columbia Ave	Rossland	BC	V0G 1Y0	(250) 362-7532	(250) 362-9038	C	NULL	NULL	NULL	NULL
045	#045 Revelstoke BCLS	PO Box 80   111 Campbell Ave	Revelstoke	BC	V0E 2S0	(250) 837-7676	(250) 837-9618	B	2015-03-24 00:00:00.000	cameek	CE Transition	NULL
046	#046 Smithers BCLS	PO Box 727   1114 Queen Street	Smithers	BC	V0J 2N0	2508774508	(250) 847-3774	B	NULL	NULL	NULL	AIG provided by CityWest
047	#047 Stewart BCLS	PO Box 37   4th & Conway	Stewart	BC	V0T 1W0	(250) 636-2524	(250) 636-9054	C	2014-06-26 00:00:00.000	lrlee	CE	NULL
048	#048 Salmon Arm BCLS	Centenoka Park Mall, 500-360 Trans Canada Highway	Salmon Arm	BC	V1E 1B6	2508337447	2508337449	A	2013-10-02 00:00:00.000	C. Dick                                                                                             	DVR, Alarm                                                                                          	LDBRR048 has 2 WIC cards.  Stacked between Fa0/0/3 and Fa0/1/3
049	#049 Enderby BCLS	PO Box 459  119 George St	Enderby	BC	V0E 1V0	(250) 838-7308	(250) 838-6069	C	NULL	NULL	NULL	NULL
050	#050 Sidney BCLS	2335 Beacon Ave	Sidney	BC	V8L 1W9	(250) 656-3041	(250) 656-9837	A	NULL	NULL	NULL	NULL
052	#052 Terrace BCLS	3240 Eby Street	Terrace	BC	V8G 5H4	(250) 635-5850	(250) 635-9730	B	NULL	NULL	NULL	AIG for this store provided by CityWest -CD
995	demo 2	3200 broadway	NULL	NULL	NULL	NULL	NULL	C	NULL	NULL	NULL	NULL
WCC	Wholesale Customer Centre BCLS (at GLS#100)	3100 East Broadway	Vancouver	BC	V5M 1Z6	6047750681	6042523470	O	2014-05-12 00:00:00.000	A. Leonov	NULL	It is not a Store #100, but only a Wholesale Customer Centre
239	#239 SFU BCLS	8992 University High Street	Burnaby	BC	V5A 4Y6	6042983441	6042987299	C	NULL	NULL	NULL	NULL
000	000	000	000	00	NULL	NULL	NULL	X	NULL	NULL	NULL	NULL
BLH	Boundary Lougheed	2250 Boundary Road	Burnaby	BC	V5M3Z3	NULL	NULL	O	NULL	NULL	NULL	NULL
051	#051 Trail BCLS	1629 - 2nd Ave	Trail	BC	V1R 1M3	(250) 364-0558	(250) 368-8926	B	2014-01-09 00:00:00.000	Lrlee                                                                                               	2960 Upgrade                                                                                        	NULL
053	#053 Harbour Centre BCLS	PO Box 12057  555 W Hastings	Vancouver	BC	V6B 4N5	(604) 660-4574	(604) 662-8284	A	2014-06-12 00:00:00.000	cbdick	AIG Install	NULL
055	#055 Gold River BCLS	PO Box 430   375 Nimpkish	Gold River	BC	V0P 1G0	(250) 283-2919	(250) 283-7796	C	NULL	NULL	NULL	NULL
059	#059 Brentwood Crossing BCLS	#8 - 7103 W Saanich Rd	Brentwood Bay	BC	V8M 1R1	(250) 652-1212	(250) 652-6822	B	NULL	NULL	NULL	NULL
060	#060 Cache Creek BCLS	PO Box 67  1360 Hwy 97 North	Cache Creek	BC	V0K 1H0	(250) 457-6636	(250) 457-9681	C	NULL	NULL	NULL	NULL
063	#063 Williams Lake BCLS	730-B Oliver Street	Williams Lake	BC	V2G 1N1	(250) 398-4218	(250) 392-4773	A	NULL	NULL	NULL	NULL
064	#064 Agassiz BCLS	PO Box 130  7250 Pioneer Ave	Agassiz	BC	V0M 1A0	(604) 796-2421	(604) 796-3407	C	NULL	NULL	NULL	NULL
065	#065 Haney BCLS	#300 - 22709 Lougheed Hwy	Maple Ridge	BC	V2X 2V5	(604) 463-4509	(604) 463-6498	B	2014-07-16 00:00:00.000	C. Meek	CE Transition	NULL
066	#066 Kimberley BCLS	425 Mark St	Kimberley	BC	V1A 2B5	(250) 427-2322	(250) 427-7369	B	NULL	NULL	NULL	NULL
067	#067 Lake Cowichan BCLS	PO Box 588  93 Darnell Road	Lake Cowichan	BC	V0R 2G0	(250) 749-3424	(250) 749-4292	B	NULL	NULL	NULL	NULL
068	#068 Esquimalt BCLS	1310 Esquimalt Rd	Victoria	BC	V9A 3P6	(250) 952-4114	(250) 361-9419	X	NULL	NULL	NULL	NULL
069	#069 Oliver BCLS	PO Box 128   5966 Main St.	Oliver	BC	V0H 1T0	(250) 498-3611	(250) 498-6746	B	NULL	NULL	NULL	NULL
070	#070 Cloverdale BCLS	100-5630 176th Street	Surrey	BC	V3S 4T7	(604) 574-4452	(604) 574-3824	A	2014-05-21 00:00:00.000	Lrlee	CE	NULL
071	#071 Hope BCLS	PO Box 460   770 5th Ave	Hope	BC	V0X 1L0	(604) 869-5231	(604) 869-7673	B	2013-10-16 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
072	#072 Ambleside BCLS	1434 Marine Drive	West Vancouver	BC	V7T 1B7	(604) 981-0020	(604) 981-0025	B	2014-03-06 00:00:00.000	M. Fan                                                                                              	CE                                                                                                  	NULL
073	#073 Burns Lake BCLS	Unit 8 - 117 Highway 35	Burns Lake	BC	V0J 1E0	(250) 692-2258	(250) 692-7922	C	NULL	NULL	NULL	NULL
074	#074 New Denver BCLS	PO Box 8   717 Josephine St	New Denver	BC	V0G 1S0	(250) 358-2341	(250) 358-2477	C	NULL	NULL	NULL	NULL
075	#075 Creston BCLS	PO Box 9   2 - 1000 NW Boulevard	Creston	BC	V0B 1G0	(250) 428-3250	(250) 428-7386	B	2015-07-09 00:00:00.000	cameek	CE Transition	NULL
076	#076 Richmond Brighouse BCLS	#100 - 8100 Ackroyd Rd	Richmond	BC	V6X 3K2	(604) 278-2343	(604) 278-1430	A	2014-11-18 00:00:00.000	CAMEEK	2960 + AP                                                                                           	2018/05/02 - This store has a generic NetGear switch connected to LDBRR076 fa0/1/8.  The PinPads for WS13 and WS14 are connected into the NetGear switch.  This can also be used for extra PP during Bordeaux.
106	#106 Mackenzie BCLS	PO Box 550  403 MacKenzie Blvd	MacKenzie	BC	V0J 2C0	(250) 997-3700	(250) 997-5308	C	NULL	NULL	NULL	NULL
114	#114 Prince George Hart BCLS	3825 West Austin Rd	Prince George	BC	V2K 2H7	(250) 962-6364	(250) 962-8267	B	2014-05-15 00:00:00.000	cbdick	SHAW AIG	2014/05/15 - Added AIG info -CD
118	#118 Tofino BCLS	PO Box 370   328 Neill Street	Tofino	BC	V0R 2Z0	(250) 725-3722	(250) 725-2137	B	2016-05-26 00:00:00.000	cameek	CE Transition	2015/09/03 - AIG connection provided by3rd Party SeaView Communications.<br>
2015/12/16 - Seaview bought out by Mascon November 1st (250-725-2225)
077	#077 Northgate BCLS	Unit 103   3433 North Rd.	Burnaby	BC	V3J 0A9	(604) 664-0844	(604) 664-0846	A	2013-09-24 00:00:00.000	Lrlee                                                                                               	S2960 & AP                                                                                          	NULL
078	#078 Castlegar BCLS	Unit G 635 Columbia Avenue	Castlegar	BC	V1N 1G9	(250) 365-8543	(250) 365-8588	B	NULL	NULL	NULL	NULL
079	#079 Kamloops Columbia Place BCLS	#600 - 1210 Summit Drive	Kamloops	BC	V2C 6M1	(250) 828-4319	(250) 374-2731	S	2013-10-21 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
080	#080 Gibsons BCLS	Unit 18  900 Gibsons Way	Gibsons	BC	V0N 1V7	(604) 886-2013	(604) 886-8792	A	2016-05-12 00:00:00.000	cameek	CE transition	2014/06/12 - AIG provided by 3rd Party Eastlink (not SHAW)
081	#081 Vanderhoof BCLS	PO Box 156  2557 Burrard St.	Vanderhoof	BC	V0J 3A0	(250) 567-6310	(250) 567-2528	C	2016-04-13 00:00:00.000	cameek	CE Transition	NULL
083	#083 Osoyoos BCLS	PO Box 309   8110 Main Street	Osoyoos	BC	V0H 1V0	(250) 495-7321	(250) 495-7684	B	2014-07-15 00:00:00.000	cbdick	Alarm Active	2014/06/11 - AIG provided by 3rd Party Eastlink (not SHAW)
086	#086 Summerland BCLS	PO Box 129  #12 - 13604 Victoria Road North	Summerland	BC	V0H 1Z0	(250) 494-3591	(250) 494-5082	B	2016-05-10 00:00:00.000	cameek	CE Transition	NULL
088	#088 Clearwater BCLS	PO Box 2541   74 Young St. - Unit #1	Clearwater	BC	V0E 1N2	(250) 674-3622	(250) 674-3879	C	NULL	NULL	NULL	NULL
089	#089 Nicola Station BCLS	#140 - 1097 Nicola Ave	Port Coquitlam	BC	V3B 8B2	(604) 464-3576	(604) 464-7436	S	2014-05-21 00:00:00.000	lrlee	CE	NULL
090	#090 Jericho Village BCLS	#101 - 2083 Alma St.	Vancouver	BC	V6R 4N6	(604) 224-9380	(604) 222-3796	A	2013-10-02 00:00:00.000	C. Dick                                                                                             	2960 Upgrade, Wireless Subnets                                                                      	NULL
091	#091 Fraser Lake BCLS	PO Box 490  111 Chowsunket Avenue	Fraser Lake	BC	V0J 1S0	(250) 699-7717	(250) 699-8016	C	2016-08-15 00:00:00.000	cameek	Updated CSID	NULL
092	#092 Sicamous BCLS	PO Box 188   309 Main Street	Sicamous	BC	V0E 2V0	(250) 836-2218	(250) 836-4372	C	2016-05-10 00:00:00.000	cameek	CE Transition	NULL
093	#093 Madeira Park BCLS	PO Box 128  #1 - 12887 Madeira Park Rd.	Madeira Park	BC	V0N 2H0	(604) 883-2737	(604) 883-2792	B	NULL	NULL	NULL	NULL
094	#094 Bute Street BCLS	1155 Bute Street	Vancouver	BC	V6E 1Z7	(604) 660-4569	(604) 683-2537	A	2013-10-09 00:00:00.000	M. Fan                                                                                              	Update 2960, wireless subnets                                                                       	NULL
