DeviceName	Port	VLanID	AllocatedIP	ConnectedDevice
ALARM002	eth0	630	10.44.2.186	LDBRS002
ALARM003	eth0	630	10.44.3.186	LDBRS003
ALARM005	eth0	630	10.44.5.186	LDBRS005
ALARM006	eth0	630	10.44.6.186	LDBRS006
ALARM007	eth0	630	10.44.7.186	LDBRS007
ALARM008	eth0	630	10.44.8.186	LDBRS008
ALARM009	eth0	630	10.44.9.186	LDBRS009
ALARM010	eth0	630	10.44.10.186	LDBRS010
ALARM012	eth0	670	10.44.12.186	LDBRS012
ALARM013	eth0	630	10.44.13.186	LDBRS013
ALARM014	eth0	630	10.44.14.186	LDBRS014
ALARM015	eth0	670	10.44.15.186	LDBRS015
ALARM016	eth0	630	10.44.16.186	LDBRS016
ALARM017	eth0	630	10.44.17.186	LDBRS017
ALARM018	eth0	630	10.44.18.186	LDBRS018
ALARM019	eth0	630	10.44.19.186	LDBRS019
ALARM023	eth0	630	10.44.23.186	LDBRS023
ALARM024	eth0	630	10.44.24.186	LDBRS024
ALARM025	eth0	630	10.44.25.186	NULL
ALARM026	eth0	630	10.44.26.186	LDBRS026
ALARM027	eth0	630	10.44.27.186	LDBRS027
ALARM028	eth0	630	10.44.28.186	LDBRS028
ALARM029	eth0	630	10.44.29.186	LDBRS029
ALARM031	eth0	630	10.44.31.186	LDBRS031
ALARM032	eth0	630	10.44.32.186	LDBRS032
ALARM033	eth0	630	10.44.33.186	LDBRS033
ALARM034	eth0	630	10.44.34.186	LDBRS034
ALARM035	eth0	630	10.44.35.186	LDBRS035
ALARM037	eth0	630	10.44.37.186	LDBRS037
ALARM038	eth0	670	10.44.38.186	LDBRS038
ALARM040	eth0	630	10.44.40.186	LDBRS040
ALARM041	eth0	630	10.44.41.186	LDBRS041
ALARM042	eth0	630	10.44.42.186	LDBRS042
ALARM043	eth0	630	10.44.43.186	LDBRS043
ALARM044	eth0	630	10.44.44.186	LDBRS044
ALARM045	eth0	630	10.44.45.186	LDBRS045
ALARM046	eth0	630	10.44.46.186	LDBRS046
ALARM047	eth0	630	10.44.47.186	LDBRS047
ALARM048	eth0	670	10.44.48.186	LDBRS048
ALARM049	eth0	630	10.44.49.186	LDBRS049
ALARM050	eth0	630	10.44.50.186	LDBRS050
ALARM051	eth0	630	10.44.51.186	LDBRS051
ALARM052	eth0	630	10.44.52.186	LDBRS052
ALARM053	eth0	670	10.44.53.186	LDBRS053
ALARM055	eth0	630	10.44.55.186	LDBRS055
ALARM059	eth0	630	10.44.59.186	LDBRS059
ALARM060	eth0	630	10.44.60.186	LDBRS060
ALARM063	eth0	670	10.44.63.186	LDBRS063
ALARM064	eth0	630	10.44.64.186	LDBRS064
ALARM065	eth0	670	10.44.65.186	LDBRS065
ALARM066	eth0	630	10.44.66.186	LDBRS066
ALARM067	eth0	630	10.44.67.186	LDBRS067
ALARM068	eth0	630	10.44.68.186	LDBRS068
ALARM069	eth0	670	10.44.69.186	LDBRS069
ALARM070	eth0	630	10.44.70.186	LDBRS070
ALARM072	eth0	630	10.44.72.186	LDBRS072
ALARM073	eth0	630	10.44.73.186	LDBRS073
ALARM074	eth0	630	10.44.74.186	LDBRS074
ALARM075	eht0	630	10.44.75.186	LDBRS075
ALARM076	eth0	630	10.44.76.186	LDBRS076
ALARM077	eth0	670	10.44.77.186	LDBRS077
ALARM078	eth0	630	10.44.78.186	LDBRS078
ALARM079	eth0	630	10.44.79.186	LDBRS079
ALARM080	eth0	630	10.44.80.186	LDBRS080
ALARM081	eth0	630	10.44.81.186	LDBRS081
ALARM083	eth0	670	10.44.83.186	LDBRS083
ALARM086	eth0	630	10.44.86.186	LDBRS086
ALARM088	eth0	630	10.44.88.186	LDBRS088
ALARM089	eth0	630	10.44.89.186	LDBRS089
ALARM090	eth0	630	10.44.90.186	LDBRS090
ALARM091	eth0	630	10.44.91.186	LDBRS091
ALARM092	eth0	630	10.44.92.186	LDBRS092
ALARM093	eth0	630	10.44.93.186	LDBRS093
ALARM094	eth0	670	10.44.94.186	LDBRS094
ALARM095	eth0	630	10.44.95.186	LDBRS095
ALARM096	eth0	630	10.44.96.186	LDBRS096
ALARM097	eth0	630	10.44.97.186	LDBRS097
ALARM099	eth0	630	10.44.99.186	LDBRS099
ALARM101	eth0	630	10.44.101.186	LDBRS101
ALARM105	eth0	630	10.44.105.186	LDBRS105
ALARM106	eth0	630	10.44.106.186	LDBRS106
ALARM109	eth0	630	10.44.109.186	LDBRS109
ALARM110	eth0	630	10.44.110.186	LDBRS110
ALARM111	eth0	670	10.44.111.186	LDBRS111
ALARM112	eth0	630	10.44.112.186	LDBRS112
ALARM113	eth0	630	10.44.113.186	LDBRS113
ALARM114	eth0	630	10.44.114.186	LDBRS114
ALARM115	eth0	630	10.44.115.186	LDBRS115
ALARM117	eth0	670	10.44.117.186	LDBRS117
ALARM118	eth0	630	10.44.118.186	LDBRS118
ALARM120	eth0	630	10.44.120.186	LDBRS120
ALARM122	eth0	630	10.44.122.186	LDBRS122
ALARM123	eth0	630	10.44.123.186	LDBRS123
ALARM124	eth0	630	10.44.124.186	LDBRS124
ALARM125	eth0	630	10.44.125.186	LDBRS125
ALARM127	eth0	670	10.44.127.186	LDBRS127
ALARM128	eth0	630	10.44.128.186	LDBRS128
ALARM129	eth0	630	10.44.129.186	LDBRS129
ALARM130	eth0	630	10.44.130.186	LDBRS130
