VLanID	Description
20	Retail Store
40	Retail Test Store
410	External Tablet
420	External Workstation
430	Public WiFi
50	Area Manager
500	Retail Test Store
501	Retail Test Store
502	Retail Test Store
503	Retail Test Store
506	Retail Test Store
530	MFD
550	Pinpad
551	Pinpad Bordeaux
552	Pinpad Test Store
553	Pinpad Test Store
556	Pinpad Test Store
620	DVR
621	DVR Test
630	Alarm Panel
670	Loss Prevention
710	Internet Only
721	Wireless Sw Test
730	Wireless Mgmt and WIPS
731	Wireless Sw Test
740	Wireless Mobile Unit
750	WIPS
751	WIPS Test
888	Management
889	Management Test
WLAN	Wireless mobile units
640	Wholesale Customer Centre
110	HVAC/Fridge
150	Management Vlan
