VLanID	LocationID	Gateway	SubnetMask
20	002	10.44.2.1	255.255.255.192
20	003	10.44.3.1	255.255.255.192
20	005	10.44.5.1	255.255.255.192
20	006	10.44.6.1	255.255.255.192
20	007	10.44.7.1	255.255.255.192
20	008	10.44.8.1	255.255.255.192
20	009	10.44.9.1	255.255.255.192
20	010	10.44.10.1	255.255.255.192
20	012	10.44.12.1	255.255.255.192
20	013	10.44.13.1	255.255.255.192
20	014	10.44.14.1	255.255.255.192
20	015	10.44.15.1	255.255.255.192
20	016	10.44.16.1	255.255.255.192
20	017	10.44.17.1	255.255.255.192
20	018	10.44.18.1	255.255.255.192
20	019	10.44.19.1	255.255.255.192
20	023	10.44.23.1	255.255.255.192
20	024	10.44.24.1	255.255.255.192
20	025	10.44.25.1	255.255.255.192
20	026	10.44.26.1	255.255.255.192
20	027	10.44.27.1	255.255.255.192
20	028	10.44.28.1	255.255.255.192
20	029	10.44.29.1	255.255.255.192
20	031	10.44.31.1	255.255.255.192
20	032	10.44.32.1	255.255.255.192
20	033	10.44.33.1	255.255.255.192
20	034	10.44.34.1	255.255.255.192
20	035	10.44.35.1	255.255.255.192
20	037	10.44.37.1	255.255.255.192
20	038	10.44.38.1	255.255.255.192
20	040	10.44.40.1	255.255.255.192
20	041	10.44.41.1	255.255.255.192
20	042	10.44.42.1	255.255.255.192
20	043	10.44.43.1	255.255.255.192
20	044	10.44.44.1	255.255.255.192
20	045	10.44.45.1	255.255.255.192
20	046	10.44.46.1	255.255.255.192
20	047	10.44.47.1	255.255.255.192
20	048	10.44.48.1	255.255.255.192
20	049	10.44.49.1	255.255.255.192
20	050	10.44.50.1	255.255.255.192
20	051	10.44.51.1	255.255.255.192
20	052	10.44.52.1	255.255.255.192
20	053	10.44.53.1	255.255.255.192
20	055	10.44.55.1	255.255.255.192
20	059	10.44.59.1	255.255.255.192
20	060	10.44.60.1	255.255.255.192
20	063	10.44.63.1	255.255.255.192
20	064	10.44.64.1	255.255.255.192
20	065	10.44.65.1	255.255.255.192
20	066	10.44.66.1	255.255.255.192
20	067	10.44.67.1	255.255.255.192
20	068	10.44.68.1	255.255.255.192
20	069	10.44.69.1	255.255.255.192
20	070	10.44.70.1	255.255.255.192
20	071	10.44.71.1	255.255.255.192
20	072	10.44.72.1	255.255.255.192
20	073	10.44.73.1	255.255.255.192
20	074	10.44.74.1	255.255.255.192
20	075	10.44.75.1	255.255.255.192
20	076	10.44.76.1	255.255.255.192
20	077	10.44.77.1	255.255.255.192
20	078	10.44.78.1	255.255.255.192
20	079	10.44.79.1	255.255.255.192
20	080	10.44.80.1	255.255.255.192
20	081	10.44.81.1	255.255.255.192
20	083	10.44.83.1	255.255.255.192
20	086	10.44.86.1	255.255.255.192
20	088	10.44.88.1	255.255.255.192
20	089	10.44.89.1	255.255.255.192
20	090	10.44.90.1	255.255.255.192
20	091	10.44.91.1	255.255.255.192
20	092	10.44.92.1	255.255.255.192
20	093	10.44.93.1	255.255.255.192
20	094	10.44.94.1	255.255.255.192
20	095	10.44.95.1	255.255.255.192
20	096	10.44.96.1	255.255.255.192
20	097	10.44.97.1	255.255.255.192
20	098	10.44.98.1	255.255.255.192
20	099	10.44.99.1	255.255.255.192
20	100	10.44.100.1	255.255.255.192
20	101	10.44.101.1	255.255.255.192
20	102	10.44.102.1	255.255.255.192
20	105	10.44.105.1	255.255.255.192
20	106	10.44.106.1	255.255.255.192
20	107	10.44.107.1	255.255.255.192
20	109	10.44.109.1	255.255.255.192
20	110	10.44.110.1	255.255.255.192
20	111	10.44.111.1	255.255.255.192
20	112	10.44.112.1	255.255.255.192
20	113	10.44.113.1	255.255.255.192
20	114	10.44.114.1	255.255.255.192
20	115	10.44.115.1	255.255.255.192
